fichero,url,delta_sg,calificacion
20250203_28028611_IES GONZALO TORRENTE BALLESTER_url_web_NTP.json,http://www.educa.madrid.org/ies.torrenteballest.sansebastian,67.086347,0
20250203_28028672_IES RAMIRO DE MAEZTU_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.ramirodemaeztu.madrid/,-0.694086,9.77
20250203_28028672_IES RAMIRO DE MAEZTU_url_web_NTP.json,http://www.educa.madrid.org/ies.ramirodemaeztu.madrid,-2.033216,9.32
20250203_28028684_IES JUAN DE HERRERA_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.juandeherrera.sanlorenzo/,-1.230779,9.59
20250203_28028684_IES JUAN DE HERRERA_url_web_NTP.json,http://www.educa.madrid.org/ies.juandeherrera.sanlorenzo,-1.172909,9.61
20250203_28029251_IES SILVERIO LANZA_url_web_NTP.json,http://www.educa.madrid.org/ies.silveriolanza.getafe,-0.588113,9.8
20250203_28030137_IES FORTUNY_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.fortuny.madrid/,-0.935276,9.69
20250203_28030137_IES FORTUNY_url_web_NTP.json,http://www.educa.madrid.org/ies.fortuny.madrid,63.351896,0
20250203_28030149_IES CIUDAD DE LOS POETAS_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.ciudaddelospoetas.madrid/,-0.832657,9.72
20250203_28030149_IES CIUDAD DE LOS POETAS_url_web_NTP.json,http://www.educa.madrid.org/ies.ciudaddelospoetas.madrid,-1.385236,9.54
20250203_28030150_IES RAMON Y CAJAL_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.ramonycajal.madrid/,-1.292788,9.57
20250203_28030150_IES RAMON Y CAJAL_url_web_NTP.json,http://www.educa.madrid.org/ies.ramonycajal.madrid,66.29061,0
