fichero,url,compliance_Strict-Transport-Security,compliance_Content-Security-Policy,compliance_X-Content-Type-Options,compliance_X-Frame-Options,compliance_X-XSS-Protection,compliance_Referrer-Policy,compliance_Permissions-Policy,compliance_Cache-Control,compliance_Set-Cookie,compliance_X-Powered-By,compliance_Server,compliance_score,calificacion
20250627_28030150_IES RAMON Y CAJAL_url_aula_webheader.json,https://aulavirtual33.educa.madrid.org/ies.ramonycajal.madrid/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28030150_IES RAMON Y CAJAL_url_web_webheader.json,http://www.educa.madrid.org/ies.ramonycajal.madrid,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,OK_nosniff,OK_SAMEORIGIN,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28030162_IES MIGUEL DELIBES_url_aula_webheader.json,https://aulavirtual3.educa.madrid.org/ies.delibes.madrid/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28030162_IES MIGUEL DELIBES_url_web_webheader.json,http://www.educa.madrid.org/ies.delibes.madrid,"OK_max_age,KO_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",KO_X-Powered-By,KO_Server,0.0,0.0
20250627_28030174_IES CELESTINO MUTIS_url_aula_webheader.json,https://aulavirtual33.educa.madrid.org/ies.celestinomutis.madrid/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28030174_IES CELESTINO MUTIS_url_web_webheader.json,http://www.educa.madrid.org/ies.celestinomutis.madrid,"OK_max_age,KO_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",KO_X-Powered-By,KO_Server,0.0,0.0
20250627_28030186_IES DAMASO ALONSO_url_aula_webheader.json,https://aulavirtual33.educa.madrid.org/ies.damasoalonso.madrid/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28030186_IES DAMASO ALONSO_url_web_webheader.json,http://www.educa.madrid.org/ies.damasoalonso.madrid,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,OK_nosniff,OK_SAMEORIGIN,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28030216_IES HUMANEJOS_url_aula_webheader.json,https://aulavirtual32.educa.madrid.org/ies.humanejos.parla/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28030216_IES HUMANEJOS_url_web_webheader.json,https://www.ieshumanejos.com,KO_Strict-Transport-Security,OK_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,KO_HttpOnly",OK_X-Powered-By,KO_Server,0.18,0.18
