fichero,url,dias_restantes,emisor,algoritmo_firma,algoritmo_clave,longitud_clave,calidad,calificacion
20250216_28020624_IES REY PASTOR_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.reypastor.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020624_IES REY PASTOR_url_web_Certificado.json,www.educa.madrid.org/ies.reypastor.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020648_IES VALLECAS I_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.vallecasuno.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020648_IES VALLECAS I_url_web_Certificado.json,site.educa.madrid.org/ies.vallecasuno.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020703_IES ENRIQUE TIERNO GALVAN_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.tiernogalvan.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020703_IES ENRIQUE TIERNO GALVAN_url_web_Certificado.json,www.educa.madrid.org/ies.tiernogalvan.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020715_IES PIO BAROJA_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.piobaroja.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020715_IES PIO BAROJA_url_web_Certificado.json,www.educa.madrid.org/ies.piobaroja.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020727_IES PARQUE ALUCHE_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.parquealuche.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020727_IES PARQUE ALUCHE_url_web_Certificado.json,www.educa.madrid.org/ies.parquealuche.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020739_IES EIJO Y GARAY_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.eijogaray.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020739_IES EIJO Y GARAY_url_web_Certificado.json,www.educa.madrid.org/ies.eijogaray.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020806_IES NUESTRA SEÑORA DE LA ALMUDENA_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.almudena.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020806_IES NUESTRA SEÑORA DE LA ALMUDENA_url_web_Certificado.json,www.educa.madrid.org/ies.almudena.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020831_IES TETUAN DE LAS VICTORIAS_url_aula_Certificado.json,aulavirtual35.educa.madrid.org/ies.tetuan.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020831_IES TETUAN DE LAS VICTORIAS_url_web_Certificado.json,www.educa.madrid.org/ies.tetuan.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020855_IES CARDENAL HERRERA ORIA_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.cardenalherrera.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020855_IES CARDENAL HERRERA ORIA_url_web_Certificado.json,www.educa.madrid.org/ies.cardenalherrera.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020892_IES BEATRIZ GALINDO_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.beatrizgalindo.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020892_IES BEATRIZ GALINDO_url_web_Certificado.json,www.educa.madrid.org/ies.beatrizgalindo.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020909_IES ISABEL LA CATOLICA_url_aula_Certificado.json,aulavirtual35.educa.madrid.org/ies.isabellacatolica.boadilla/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020909_IES ISABEL LA CATOLICA_url_web_Certificado.json,www.educa.madrid.org/ies.isabellacatolica.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020910_IES JUAN DE LA CIERVA_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.juandelacierva.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28020910_IES JUAN DE LA CIERVA_url_web_Certificado.json,iesjuandelacierva.es,76,"CN=R11,O=Let's Encrypt,C=US",sha256,RSA,2048,Aceptable,5
