fichero,url,performance,best-practices,seo,calificacion
20250330_28020703_IES ENRIQUE TIERNO GALVAN_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.tiernogalvan.madrid/,0.6,0.96,0.66,7.95
20250330_28020703_IES ENRIQUE TIERNO GALVAN_url_web_LightHouse.json,http://www.educa.madrid.org/ies.tiernogalvan.madrid,0.06,0.62,0.83,5.32
20250330_28020715_IES PIO BAROJA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.piobaroja.madrid/,0.62,0.96,0.58,7.8
20250330_28020715_IES PIO BAROJA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.piobaroja.madrid,0.51,0.66,0.92,6.88
20250330_28020727_IES PARQUE ALUCHE_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.parquealuche.madrid/,0.59,0.96,0.66,7.92
20250330_28020727_IES PARQUE ALUCHE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.parquealuche.madrid,0.52,0.79,0.83,7.33
20250330_28020739_IES EIJO Y GARAY_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.eijogaray.madrid/,0.62,0.96,0.66,8.0
20250330_28020739_IES EIJO Y GARAY_url_web_LightHouse.json,http://www.educa.madrid.org/ies.eijogaray.madrid,0.55,0.66,0.92,6.97
20250330_28020806_IES NUESTRA SEÑORA DE LA ALMUDENA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.almudena.madrid/,0.55,0.96,0.66,7.82
20250330_28020806_IES NUESTRA SEÑORA DE LA ALMUDENA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.almudena.madrid,0.92,0.76,0.66,7.75
20250330_28020831_IES TETUAN DE LAS VICTORIAS_url_aula_LightHouse.json,https://aulavirtual35.educa.madrid.org/ies.tetuan.madrid/,0.57,0.96,0.66,7.88
20250330_28020831_IES TETUAN DE LAS VICTORIAS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.tetuan.madrid,0.92,0.76,0.66,7.75
20250330_28020855_IES CARDENAL HERRERA ORIA_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.cardenalherrera.madrid/,0.54,0.96,0.58,7.6
20250330_28020855_IES CARDENAL HERRERA ORIA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.cardenalherrera.madrid,0.47,0.79,0.92,7.42
20250330_28020892_IES BEATRIZ GALINDO_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.beatrizgalindo.madrid/,0.55,0.96,0.58,7.62
20250330_28020892_IES BEATRIZ GALINDO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.beatrizgalindo.madrid,0.54,0.59,0.85,6.42
20250330_28020909_IES ISABEL LA CATOLICA_url_aula_LightHouse.json,https://aulavirtual35.educa.madrid.org/ies.isabellacatolica.boadilla/,0.47,0.96,0.66,7.62
20250330_28020909_IES ISABEL LA CATOLICA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.isabellacatolica.madrid,0.28,0.41,0.92,5.05
20250330_28020910_IES JUAN DE LA CIERVA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.juandelacierva.madrid/,0.61,0.96,0.66,7.97
20250330_28020910_IES JUAN DE LA CIERVA_url_web_LightHouse.json,http://iesjuandelacierva.es,0.54,0.79,0.92,7.6
20250330_28020934_IES CARDENAL CISNEROS_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.cardenalcisnero.madrid/,0.6,0.96,0.66,7.95
20250330_28020934_IES CARDENAL CISNEROS_url_web_LightHouse.json,http://www.educa.madrid.org/ies.cardenalcisnero.madrid,0.59,0.76,1,7.77
20250330_28020946_IES SAN ISIDRO_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.sanisidro.madrid/,0.46,0.75,0.58,6.35
20250330_28020946_IES SAN ISIDRO_url_web_LightHouse.json,http://www.educa.madrid.org/ies.sanisidro.madrid,0.56,0.76,1,7.7
20250330_28020958_IES EMPERATRIZ MARIA DE AUSTRIA_url_aula_LightHouse.json,https://aulavirtual33.educa.madrid.org/ies.emperatrizmaria.madrid/,0.63,0.96,0.66,8.03
20250330_28020958_IES EMPERATRIZ MARIA DE AUSTRIA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.emperatrizmaria.madrid,0.48,0.79,1,7.65
20250330_28020961_IES CALDERON DE LA BARCA_url_aula_LightHouse.json,https://aulavirtual32.educa.madrid.org/ies.calderondelabar.madrid/,0.6,0.96,0.66,7.95
20250330_28020961_IES CALDERON DE LA BARCA_url_web_LightHouse.json,http://www.educa.madrid.org/ies.calderondelabar.madrid,0.48,0.76,1,7.5
20250330_28021008_IES VISTA ALEGRE_url_aula_LightHouse.json,https://aulavirtual3.educa.madrid.org/ies.vistaalegre.madrid/,0.6,0.96,0.66,7.95
20250330_28021008_IES VISTA ALEGRE_url_web_LightHouse.json,http://www.educa.madrid.org/ies.vistaalegre.madrid,0.49,0.66,0.85,6.65
